"","Race","Race_id"
"1","2m 70y class 5 17th Of July Is Ladies Day Maiden Hurdle  (4yo plus)",1
"276","6f 6y class 5 Highland Spring Water Avon Gorge Novice Auction Stakes",2
"451","1m 4f 14y class 5 Racing Welfare Stable Staff Week Handicap  (3yo plus)",3
"651","2m 3f 98y class 3 Sheppard Family Handicap Chase (For the Gay, Eve and Tim Sheppard Memorial Cup)  (5yo plus)",4
