"","Odds","Odds_id"
"355","4/1",355
"356","6/1",356
"357","15/2",357
"358","20/1",358
"359","33/1",359
"360","5/4",360
"361","10/3",361
"362","5/1",362
"363","6/1",363
"364","9/1",364
"365","20/1",365
"366","33/1",366
"367","6/4",367
"368","10/3",368
"369","5/1",369
"370","6/1",370
"371","9/1",371
"372","20/1",372
"373","33/1",373
"374","13/8",374
"375","3/1",375
"376","4/1",376
"377","5/1",377
"378","8/1",378
"379","16/1",379
"380","28/1",380
"381","13/8",381
"382","7/2",382
"383","4/1",383
"384","6/1",384
"385","9/1",385
"386","20/1",386
"387","33/1",387
"388","6/4",388
"389","7/2",389
"390","9/2",390
"391","6/1",391
"392","9/1",392
"393","20/1",393
"394","40/1",394
"395","7/5",395
"396","57/17",396
"397","9/2",397
"398","6/1",398
"399","9/1",399
"400","20/1",400
"401","40/1",401
"402","13/8",402
"403","10/3",403
"404","4/1",404
"405","6/1",405
"406","8/1",406
"407","18/1",407
"408","33/1",408
"409","6/5",409
"410","7/2",410
"411","4/1",411
"412","11/2",412
"413","8/1",413
"414","16/1",414
"415","33/1",415
"416","7/5",416
"417","57/17",417
"418","9/2",418
"419","6/1",419
"420","9/1",420
"421","20/1",421
"422","40/1",422
"423","6/4",423
"424","7/2",424
"425","4/1",425
"426","6/1",426
"427","8/1",427
"428","16/1",428
"429","33/1",429
"430","7/5",430
"431","57/17",431
"432","9/2",432
"433","6/1",433
"434","9/1",434
"435","20/1",435
"436","40/1",436
"437","7/5",437
"438","10/3",438
"439","6/1",439
"440","6/1",440
"441","19/2",441
"442","18/1",442
"443","39/1",443
"444","6/4",444
"445","10/3",445
"446","6/1",446
"447","31/5",447
"448","51/5",448
"449","92/5",449
"450","40/1",450
"451","5/2",451
"452","7/2",452
"453","5/1",453
"454","7/1",454
"455","15/2",455
"456","13/2",456
"457","16/1",457
"458","25/1",458
"459","5/2",459
"460","7/2",460
"461","5/1",461
"462","7/1",462
"463","15/2",463
"464","9/1",464
"465","16/1",465
"466","22/1",466
"467","5/2",467
"468","7/2",468
"469","9/2",469
"470","13/2",470
"471","7/1",471
"472","8/1",472
"473","16/1",473
"474","20/1",474
"475","5/2",475
"476","7/2",476
"477","5/1",477
"478","13/2",478
"479","15/2",479
"480","8/1",480
"481","16/1",481
"482","25/1",482
"483","5/2",483
"484","7/2",484
"485","9/2",485
"486","13/2",486
"487","7/1",487
"488","8/1",488
"489","16/1",489
"490","20/1",490
"491","5/2",491
"492","10/3",492
"493","4/1",493
"494","7/1",494
"495","7/1",495
"496","7/1",496
"497","16/1",497
"498","20/1",498
"499","5/2",499
"500","7/2",500
"501","5/1",501
"502","7/1",502
"503","8/1",503
"504","8/1",504
"505","16/1",505
"506","25/1",506
"507","5/2",507
"508","7/2",508
"509","5/1",509
"510","13/2",510
"511","16/2",511
"512","6/1",512
"513","14/1",513
"514","16/1",514
"515","9/4",515
"516","4/1",516
"517","9/2",517
"518","7/1",518
"519","8/1",519
"520","11/2",520
"521","14/1",521
"522","14/1",522
"523","5/2",523
"524","7/2",524
"525","9/2",525
"526","7/1",526
"527","7/1",527
"528","13/2",528
"529","14/1",529
"530","20/1",530
"531","5/2",531
"532","7/2",532
"533","5/1",533
"534","7/1",534
"535","8/1",535
"536","8/1",536
"537","16/1",537
"538","25/1",538
"539","9/4",539
"540","7/2",540
"541","5/1",541
"542","13/2",542
"543","7/1",543
"544","8/1",544
"545","16/1",545
"546","22/1",546
"547","5/2",547
"548","10/3",548
"549","5/1",549
"550","13/2",550
"551","15/2",551
"552","8/1",552
"553","16/1",553
"554","25/1",554
"555","5/2",555
"556","7/2",556
"557","5/1",557
"558","13/2",558
"559","15/2",559
"560","15/2",560
"561","16/1",561
"562","20/1",562
"563","5/2",563
"564","7/2",564
"565","5/1",565
"566","13/2",566
"567","15/2",567
"568","6/1",568
"569","12/1",569
"570","16/1",570
"571","11/4",571
"572","7/2",572
"573","9/2",573
"574","7/1",574
"575","15/2",575
"576","8/1",576
"577","18/1",577
"578","25/1",578
"579","5/2",579
"580","7/2",580
"581","5/1",581
"582","13/2",582
"583","8/1",583
"584","8/1",584
"585","18/1",585
"586","25/1",586
"587","5/2",587
"588","57/17",588
"589","9/2",589
"590","13/2",590
"591","15/2",591
"592","7/1",592
"593","16/1",593
"594","22/1",594
"595","5/2",595
"596","7/2",596
"597","9/2",597
"598","13/2",598
"599","7/1",599
"600","13/2",600
"601","14/1",601
"602","20/1",602
"603","5/2",603
"604","7/2",604
"605","9/2",605
"606","7/1",606
"607","7/1",607
"608","13/2",608
"609","14/1",609
"610","20/1",610
"611","5/2",611
"612","57/17",612
"613","9/2",613
"614","13/2",614
"615","15/2",615
"616","7/1",616
"617","16/1",617
"618","22/1",618
"619","5/2",619
"620","3/1",620
"621","9/2",621
"622","13/2",622
"623","7/1",623
"624","13/2",624
"625","16/1",625
"626","20/1",626
"627","5/2",627
"628","57/17",628
"629","9/2",629
"630","13/2",630
"631","15/2",631
"632","7/1",632
"633","16/1",633
"634","22/1",634
"635","12/5",635
"636","3/1",636
"637","5/1",637
"638","33/5",638
"639","39/5",639
"640","52/5",640
"641","83/5",641
"642","28/1",642
"643","12/5",643
"644","3/1",644
"645","26/5",645
"646","33/5",646
"647","39/5",647
"648","48/5",648
"649","33/2",649
"650","28/1",650
"651","7/2",651
"652","4/1",652
"653","5/1",653
"654","11/2",654
"655","6/1",655
"656","7/1",656
"657","8/1",657
"658","7/2",658
"659","4/1",659
"660","5/1",660
"661","11/2",661
"662","13/2",662
"663","7/1",663
"664","15/2",664
"665","7/2",665
"666","4/1",666
"667","5/1",667
"668","11/2",668
"669","6/1",669
"670","13/2",670
"671","7/1",671
"672","7/2",672
"673","4/1",673
"674","5/1",674
"675","11/2",675
"676","13/2",676
"677","7/1",677
"678","8/1",678
"679","7/2",679
"680","4/1",680
"681","5/1",681
"682","11/2",682
"683","6/1",683
"684","13/2",684
"685","7/1",685
"686","7/2",686
"687","4/1",687
"688","5/1",688
"689","11/2",689
"690","6/1",690
"691","13/2",691
"692","7/1",692
"693","4/1",693
"694","9/2",694
"695","5/1",695
"696","11/2",696
"697","13/2",697
"698","7/1",698
"699","7/1",699
"700","7/2",700
